Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,03-02-2012,1636339.65,0,56.55,3.36,220.1720153,7.348
1,10-02-2012,1802477.43,1,48.02,3.409,220.2651783,7.348
1,17-02-2012,1819870,0,45.32,3.51,220.4257586,7.348
1,24-02-2012,1539387.83,0,57.25,3.555,220.636902,7.348
1,02-03-2012,1688420.76,0,60.96,3.63,220.8480454,7.348
1,09-03-2012,1675431.16,0,58.76,3.669,221.0591887,7.348
1,16-03-2012,1677472.78,0,64.74,3.734,221.2118132,7.348
1,23-03-2012,1511068.07,0,65.93,3.787,221.2864126,7.348
1,30-03-2012,1649604.63,0,67.61,3.845,221.3610119,7.348
1,06-04-2012,1899676.88,0,70.43,3.891,221.4356112,7.143
1,13-04-2012,1621031.7,0,69.07,3.891,221.5102105,7.143
1,20-04-2012,1521577.87,0,66.76,3.877,221.5640737,7.143
1,27-04-2012,1468928.37,0,67.23,3.814,221.6179368,7.143
1,04-05-2012,1684519.99,0,75.55,3.749,221.6718,7.143
1,11-05-2012,1611096.05,0,73.77,3.688,221.7256632,7.143
1,18-05-2012,1595901.87,0,70.33,3.63,221.742674,7.143
1,25-05-2012,1555444.55,0,77.22,3.561,221.744944,7.143
1,01-06-2012,1624477.58,0,77.95,3.501,221.7472139,7.143
1,08-06-2012,1697230.96,0,78.3,3.452,221.7494839,7.143
1,15-06-2012,1630607,0,79.35,3.393,221.7626421,7.143
1,22-06-2012,1527845.81,0,78.39,3.346,221.8030211,7.143
1,29-06-2012,1540421.49,0,84.88,3.286,221.8434,7.143
1,06-07-2012,1769854.16,0,81.57,3.227,221.8837789,6.908
1,13-07-2012,1527014.04,0,77.12,3.256,221.9241579,6.908
1,20-07-2012,1497954.76,0,80.42,3.311,221.9327267,6.908
1,27-07-2012,1439123.71,0,82.66,3.407,221.9412954,6.908
1,03-08-2012,1631135.79,0,86.11,3.417,221.9498642,6.908
1,10-08-2012,1592409.97,0,85.05,3.494,221.9584329,6.908
1,17-08-2012,1597868.05,0,84.85,3.571,222.0384109,6.908
1,24-08-2012,1494122.38,0,77.66,3.62,222.1719457,6.908
1,31-08-2012,1582083.4,0,80.49,3.638,222.3054805,6.908
1,07-09-2012,1661767.33,1,83.96,3.73,222.4390153,6.908
1,14-09-2012,1517428.87,0,74.97,3.717,222.5820193,6.908
1,21-09-2012,1506126.06,0,69.87,3.721,222.7818386,6.908
1,28-09-2012,1437059.26,0,76.08,3.666,222.9816579,6.908
1,05-10-2012,1670785.97,0,68.55,3.617,223.1814772,6.573
1,12-10-2012,1573072.81,0,62.99,3.601,223.3812965,6.573
1,19-10-2012,1508068.77,0,67.97,3.594,223.4257233,6.573
1,26-10-2012,1493659.74,0,69.16,3.506,223.4442513,6.573
2,05-02-2010,2136989.46,0,40.19,2.572,210.7526053,8.324
2,12-02-2010,2137809.5,1,38.49,2.548,210.8979935,8.324
2,19-02-2010,2124451.54,0,39.69,2.514,210.9451605,8.324
2,26-02-2010,1865097.27,0,46.1,2.561,210.9759573,8.324
2,05-03-2010,1991013.13,0,47.17,2.625,211.0067542,8.324
2,22-06-2012,1887733.21,0,81.04,3.346,221.4411622,6.891
2,29-06-2012,1881046.12,0,86.32,3.286,221.4813343,6.891
2,06-07-2012,2041507.4,0,84.2,3.227,221.5215064,6.565
2,13-07-2012,1830075.13,0,80.17,3.256,221.5616784,6.565
2,20-07-2012,1819666.46,0,83.23,3.311,221.5701123,6.565
2,27-07-2012,1757923.88,0,86.37,3.407,221.5785461,6.565
2,03-08-2012,1946104.64,0,90.22,3.417,221.5869799,6.565
2,10-08-2012,1866719.96,0,88.55,3.494,221.5954138,6.565
2,17-08-2012,1928016.01,0,84.79,3.571,221.6751459,6.565
2,24-08-2012,1876788.15,0,76.91,3.62,221.8083518,6.565
2,31-08-2012,1947083.3,0,82.64,3.638,221.9415576,6.565
2,07-09-2012,1898777.07,1,87.65,3.73,222.0747635,6.565
2,14-09-2012,1814806.63,0,75.88,3.717,222.2174395,6.565
2,21-09-2012,1829415.67,0,71.09,3.721,222.4169362,6.565
2,28-09-2012,1746470.56,0,79.45,3.666,222.6164329,6.565
2,05-10-2012,1998321.04,0,70.27,3.617,222.8159296,6.17
2,12-10-2012,1900745.13,0,60.97,3.601,223.0154263,6.17
2,19-10-2012,1847990.41,0,68.08,3.594,223.0598077,6.17
2,26-10-2012,1834458.35,0,69.79,3.506,223.0783366,6.17
3,05-02-2010,461622.22,0,45.71,2.572,214.4248812,7.368
3,12-02-2010,420728.96,1,47.93,2.548,214.5747916,7.368
3,19-02-2010,421642.19,0,47.07,2.514,214.6198868,7.368
3,26-02-2010,407204.86,0,52.05,2.561,214.6475127,7.368
3,05-03-2010,415202.04,0,53.04,2.625,214.6751386,7.368
3,12-03-2010,384200.69,0,63.08,2.667,214.7027646,7.368
3,19-03-2010,375328.59,0,60.42,2.72,214.5301219,7.368
3,15-07-2011,373454.33,0,87.14,3.575,218.7275216,7.567
3,22-07-2011,360617.37,0,86.19,3.651,218.7857881,7.567
3,29-07-2011,345381.29,0,88.07,3.682,218.8440545,7.567
3,05-08-2011,409981.25,0,88.45,3.684,218.9023209,7.567
3,12-08-2011,380376.85,0,88.88,3.638,218.9605873,7.567
3,19-08-2011,379716.91,0,88.44,3.554,219.023271,7.567
3,26-08-2011,366367.55,0,87.67,3.523,219.0866908,7.567
3,02-09-2011,375988.69,0,89.12,3.533,219.1501106,7.567
3,09-09-2011,377347.49,1,81.72,3.546,219.2135305,7.567
3,16-09-2011,375629.51,0,83.63,3.526,219.3972867,7.567
3,23-09-2011,365248.94,0,80.19,3.467,219.7414914,7.567
3,30-09-2011,368477.93,0,82.58,3.355,220.085696,7.567
3,07-10-2011,403342.4,0,75.54,3.285,220.4299007,7.197
3,14-10-2011,368282.57,0,73.75,3.274,220.7486167,7.197
3,21-10-2011,394976.36,0,69.03,3.353,220.9144005,7.197
3,28-10-2011,389540.62,0,71.04,3.372,221.0801842,7.197
3,04-11-2011,459443.22,0,59.31,3.332,221.245968,7.197
3,11-11-2011,407764.25,0,61.7,3.297,221.4117517,7.197
3,18-11-2011,398838.97,0,63.91,3.308,221.6432852,7.197
3,25-11-2011,556925.19,1,68,3.236,221.9011185,7.197
3,02-12-2011,472511.32,0,54.97,3.172,222.1589519,7.197
3,09-12-2011,468772.8,0,49.26,3.158,222.4167852,7.197
3,16-12-2011,510747.62,0,57.95,3.159,222.6426418,7.197
3,23-12-2011,551221.21,0,53.41,3.112,222.8258628,7.197
3,30-12-2011,410553.88,1,48.29,3.129,223.0090839,7.197
3,06-01-2012,398178.21,0,52.42,3.157,223.1923049,6.833
3,13-01-2012,367438.62,0,51.86,3.261,223.3755259,6.833
3,20-01-2012,365818.61,0,56.2,3.268,223.4700552,6.833
3,27-01-2012,349518.1,0,58.06,3.29,223.5645845,6.833
3,03-02-2012,424960.66,0,59.33,3.36,223.6591137,6.833
3,10-02-2012,473292.47,1,51.65,3.409,223.753643,6.833
3,17-02-2012,475591.08,0,52.39,3.51,223.9170153,6.833
3,24-02-2012,418925.47,0,60.12,3.555,224.1320199,6.833
3,02-03-2012,469752.56,0,61.65,3.63,224.3470245,6.833
3,09-03-2012,445162.05,0,60.71,3.669,224.5620291,6.833
3,16-03-2012,411775.8,0,64,3.734,224.7166953,6.833
3,23-03-2012,413907.25,0,66.53,3.787,224.7909104,6.833
3,30-03-2012,407488.84,0,69.36,3.845,224.8651254,6.833
3,06-04-2012,503232.13,0,73.01,3.891,224.9393405,6.664
3,13-04-2012,420789.74,0,72.83,3.891,225.0135556,6.664
3,20-04-2012,434822.13,0,72.05,3.877,225.0689541,6.664
3,27-04-2012,394616.11,0,73.39,3.814,225.1243526,6.664
3,04-05-2012,439913.57,0,79.51,3.749,225.1797511,6.664
3,11-05-2012,431985.36,0,75.19,3.688,225.2351496,6.664
3,18-05-2012,418112.76,0,72.38,3.63,225.2512024,6.664
3,25-05-2012,413701.29,0,78.58,3.561,225.2515168,6.664
3,01-06-2012,432268.53,0,81.55,3.501,225.2518313,6.664
3,08-06-2012,446336.8,0,81.65,3.452,225.2521458,6.664
3,15-06-2012,442074.79,0,84.66,3.393,225.2644795,6.664
3,22-06-2012,419497.95,0,82.7,3.346,225.3068615,6.664
3,29-06-2012,422965.33,0,86.42,3.286,225.3492435,6.664
3,06-07-2012,411206.5,0,83.14,3.227,225.3916254,6.334
3,13-07-2012,416913.1,0,82.28,3.256,225.4340074,6.334
3,19-10-2012,424513.08,0,73.44,3.594,226.9688442,6.034
3,26-10-2012,405432.7,0,74.66,3.506,226.9873637,6.034
4,27-07-2012,2048613.65,0,81.06,3.356,130.7195806,4.077
4,03-08-2012,2174514.13,0,83.86,3.374,130.737871,4.077
4,10-08-2012,2193367.69,0,83.21,3.476,130.7561613,4.077
4,17-08-2012,2283540.3,0,81.41,3.552,130.7909677,4.077
4,24-08-2012,2125241.68,0,75.76,3.61,130.8381613,4.077
4,31-08-2012,2081181.35,0,76.47,3.646,130.8853548,4.077
4,07-09-2012,2125104.72,1,82.09,3.709,130.9325484,4.077
4,14-09-2012,2117854.6,0,68.2,3.706,130.9776667,4.077
4,21-09-2012,2119438.53,0,68.97,3.721,131.0103333,4.077
4,28-09-2012,2027620.23,0,71.74,3.666,131.043,4.077
4,05-10-2012,2209835.43,0,63.07,3.62,131.0756667,3.879
4,12-10-2012,2133026.07,0,57.11,3.603,131.1083333,3.879
4,19-10-2012,2097266.85,0,64.46,3.61,131.1499677,3.879
4,26-10-2012,2149594.46,0,63.64,3.514,131.1930968,3.879
5,05-02-2010,317173.1,0,39.7,2.572,211.6539716,6.566
5,12-02-2010,311825.7,1,39.81,2.548,211.8004698,6.566
5,14-10-2011,286117.72,0,72.36,3.274,217.9237458,6.3
5,21-10-2011,306069.18,0,66.9,3.353,218.0852999,6.3
5,28-10-2011,307035.11,0,69.27,3.372,218.2468539,6.3
5,04-11-2011,353652.23,0,56.71,3.332,218.408408,6.3
5,11-11-2011,311906.7,0,60.71,3.297,218.5699621,6.3
5,18-11-2011,307944.37,0,64.33,3.308,218.793912,6.3
5,25-11-2011,507900.07,1,61.93,3.236,219.0428204,6.3
5,02-12-2011,376225.61,0,51.14,3.172,219.2917287,6.3
5,09-12-2011,367433.77,0,44.12,3.158,219.540637,6.3
5,16-12-2011,379530.3,0,54.42,3.159,219.7596266,6.3
5,23-12-2011,458562.24,0,50.33,3.112,219.9387246,6.3
5,30-12-2011,349624.88,1,45.62,3.129,220.1178226,6.3
5,06-01-2012,312078.71,0,50.21,3.157,220.2969205,5.943
5,13-01-2012,291454.52,0,48.86,3.261,220.4760185,5.943
5,20-01-2012,287523.98,0,54.65,3.268,220.5694104,5.943
5,27-01-2012,295974.22,0,54.63,3.29,220.6628023,5.943
5,03-02-2012,333948,0,57.35,3.36,220.7561941,5.943
5,10-02-2012,349239.88,1,48.57,3.409,220.849586,5.943
5,17-02-2012,356427.98,0,48.25,3.51,221.0106341,5.943
5,24-02-2012,312220.47,0,57.75,3.555,221.2224243,5.943
5,02-03-2012,359206.21,0,60.66,3.63,221.4342146,5.943
5,09-03-2012,347295.6,0,57.69,3.669,221.6460048,5.943
5,16-03-2012,339392.54,0,63.55,3.734,221.7989713,5.943
5,23-03-2012,321299.99,0,64.44,3.787,221.8735063,5.943
5,30-03-2012,331318.73,0,67.76,3.845,221.9480412,5.943
5,06-04-2012,402985.7,0,70.4,3.891,222.0225762,5.801
5,13-04-2012,351832.03,0,70.56,3.891,222.0971111,5.801
5,20-04-2012,330063.06,0,67.33,3.877,222.1512315,5.801
5,27-04-2012,324839.74,0,68.96,3.814,222.2053519,5.801
5,04-05-2012,360932.69,0,77.1,3.749,222.2594722,5.801
5,11-05-2012,333870.52,0,73.45,3.688,222.3135926,5.801
5,18-05-2012,336189.66,0,70.45,3.63,222.330443,5.801
5,25-05-2012,341994.48,0,78.23,3.561,222.3323853,5.801
5,01-06-2012,359867.8,0,79.72,3.501,222.3343277,5.801
5,08-06-2012,341704.59,0,81.02,3.452,222.33627,5.801
5,15-06-2012,327383.64,0,81.64,3.393,222.3492901,5.801
5,22-06-2012,325041.68,0,80.57,3.346,222.3900046,5.801
5,29-06-2012,329658.1,0,87.08,3.286,222.4307191,5.801
5,06-07-2012,341214.43,0,82.35,3.227,222.4714336,5.603
5,13-07-2012,316203.64,0,80.78,3.256,222.5121481,5.603
5,20-07-2012,321205.12,0,81.05,3.311,222.5209358,5.603
5,27-07-2012,306827.36,0,85.06,3.407,222.5297234,5.603
5,03-08-2012,324195.17,0,86.91,3.417,222.5385111,5.603
5,10-08-2012,306759.7,0,86.96,3.494,222.5472987,5.603
5,17-08-2012,314014.18,0,87.52,3.571,222.6276753,5.603
5,24-08-2012,320831.36,0,79.45,3.62,222.7617437,5.603
5,31-08-2012,344642.01,0,84.25,3.638,222.8958121,5.603
5,07-09-2012,350648.91,1,86.3,3.73,223.0298805,5.603
5,14-09-2012,299800.67,0,76.65,3.717,223.1734167,5.603
5,21-09-2012,307306.76,0,71.09,3.721,223.3737593,5.603
5,28-09-2012,310141.68,0,78.33,3.666,223.5741019,5.603
5,05-10-2012,343048.29,0,71.17,3.617,223.7744444,5.422
5,12-10-2012,325345.41,0,66.24,3.601,223.974787,5.422
5,19-10-2012,313358.15,0,69.17,3.594,224.0192873,5.422
5,26-10-2012,319550.77,0,71.7,3.506,224.0378139,5.422
6,24-08-2012,1501095.49,0,79.03,3.62,223.7860175,5.668
6,31-08-2012,1577439.81,0,83.58,3.638,223.9210125,5.668
6,07-09-2012,1608077.01,1,86.33,3.73,224.0560076,5.668
6,14-09-2012,1375166.86,0,76.41,3.717,224.2004678,5.668
6,21-09-2012,1425603.65,0,70.81,3.721,224.4017192,5.668
6,28-09-2012,1369131.46,0,77.82,3.666,224.6029706,5.668
6,05-10-2012,1518177.71,0,70.84,3.617,224.804222,5.329
6,12-10-2012,1459396.84,0,65.43,3.601,225.0054733,5.329
6,19-10-2012,1436883.99,0,69.68,3.594,225.0501013,5.329
6,26-10-2012,1431426.34,0,72.34,3.506,225.0686254,5.329
7,11-05-2012,460397.41,0,48.54,3.87,197.5481609,8.09
7,17-08-2012,642450.4,0,59.66,3.545,198.1001057,7.872
7,24-08-2012,609099.37,0,59.27,3.558,198.0984199,7.872
7,31-08-2012,586467.16,0,60.46,3.556,198.0967341,7.872
7,07-09-2012,597876.55,1,57.84,3.596,198.0950484,7.872
7,14-09-2012,541120.2,0,53.66,3.659,198.1267184,7.872
7,21-09-2012,530842.25,0,51.77,3.765,198.358523,7.872
7,28-09-2012,525545.76,0,50.64,3.789,198.5903276,7.872
7,05-10-2012,505830.56,0,48.43,3.779,198.8221322,7.557
7,12-10-2012,503463.93,0,41.43,3.76,199.0539368,7.557
7,19-10-2012,516424.83,0,43.01,3.75,199.1481963,7.557
7,26-10-2012,495543.28,0,42.53,3.686,199.2195317,7.557
8,05-02-2010,1004137.09,0,34.14,2.572,214.4714512,6.299
8,12-02-2010,994801.4,1,33.34,2.548,214.6214189,6.299
8,12-11-2010,911538.98,0,54.89,2.728,215.3721,6.433
8,19-11-2010,885608.04,0,43.86,2.771,215.2538714,6.433
8,26-11-2010,1261693.16,1,51.07,2.735,215.1077548,6.433
8,03-12-2010,952766.93,0,42.85,2.708,214.9616381,6.433
8,10-12-2010,1069061.63,0,42.47,2.843,214.8155214,6.433
8,17-12-2010,1220579.55,0,45.03,2.869,214.7510843,6.433
8,24-12-2010,1511641.09,0,45.67,2.886,214.7479069,6.433
8,31-12-2010,773586.49,1,41.47,2.943,214.7447295,6.433
8,07-01-2011,873065.23,0,35.77,2.976,214.7415521,6.262
8,14-01-2011,809646.66,0,31.62,2.983,214.7930991,6.262
8,21-01-2011,822668.23,0,42.06,3.016,215.1729926,6.262
8,01-07-2011,883683.35,0,87.26,3.524,218.5937514,6.425
8,08-07-2011,861965.12,0,83.57,3.48,218.6895548,6.425
8,15-07-2011,849925.37,0,84.26,3.575,218.7746217,6.425
8,22-07-2011,829902.42,0,85.46,3.651,218.8328475,6.425
8,29-07-2011,807082.19,0,86.46,3.682,218.8910733,6.425
8,05-08-2011,892393.77,0,85.15,3.684,218.9492991,6.425
8,12-08-2011,856796.1,0,86.05,3.638,219.0075249,6.425
8,19-08-2011,895066.5,0,82.92,3.554,219.0701968,6.425
8,26-08-2011,912542.82,0,84.69,3.523,219.1336097,6.425
8,02-09-2011,891387.14,0,84.77,3.533,219.1970226,6.425
8,09-09-2011,848358.09,1,69.01,3.546,219.2604355,6.425
8,16-09-2011,870971.82,0,69.09,3.526,219.4442443,6.425
8,23-09-2011,806444.29,0,68.72,3.467,219.788581,6.425
8,30-09-2011,809049.37,0,72.2,3.355,220.1329176,6.425
8,07-10-2011,929976.55,0,67.61,3.285,220.4772543,6.123
8,14-10-2011,863188.26,0,61.74,3.274,220.7960935,6.123
8,21-10-2011,905984.49,0,59.97,3.353,220.9619484,6.123
8,28-10-2011,876712.31,0,56.86,3.372,221.1278032,6.123
8,04-11-2011,947815.05,0,49.68,3.332,221.2936581,6.123
8,11-11-2011,917088.48,0,50.56,3.297,221.4595129,6.123
8,18-11-2011,897032.19,0,51.72,3.308,221.6911738,6.123
8,25-11-2011,1235163.86,1,49.61,3.236,221.9491571,6.123
8,02-12-2011,986601.46,0,40.82,3.172,222.2071405,6.123
8,09-12-2011,1051922.95,0,30.51,3.158,222.4651238,6.123
8,16-12-2011,1118163.94,0,39.79,3.159,222.6910959,6.123
8,06-07-2012,936205.5,0,81.24,3.227,225.4407043,5.401
8,13-07-2012,890488.01,0,78.46,3.256,225.4831143,5.401
8,20-07-2012,888834.07,0,79.94,3.311,225.4930078,5.401
8,27-07-2012,838227.52,0,81.71,3.407,225.5029014,5.401
8,03-08-2012,897076.73,0,85.06,3.417,225.5127949,5.401
8,10-08-2012,930745.69,0,83.74,3.494,225.5226885,5.401
8,17-08-2012,896613.19,0,81.21,3.571,225.6050797,5.401
8,24-08-2012,936373.65,0,73.77,3.62,225.7418442,5.401
8,31-08-2012,976137.73,0,75.33,3.638,225.8786088,5.401
8,07-09-2012,932160.37,1,80.87,3.73,226.0153733,5.401
8,14-09-2012,883569.38,0,67.21,3.717,226.1615981,5.401
8,21-09-2012,857796.45,0,66.96,3.721,226.3645848,5.401
8,28-09-2012,884724.41,0,71.1,3.666,226.5675714,5.401
8,05-10-2012,976436.02,0,61.41,3.617,226.7705581,5.124
8,12-10-2012,927511.99,0,55.03,3.601,226.9735448,5.124
8,19-10-2012,900309.75,0,62.99,3.594,227.0184166,5.124
8,26-10-2012,891671.44,0,64.74,3.506,227.0369359,5.124
9,01-06-2012,583648.59,0,80.26,3.501,225.4946078,5.539
9,08-06-2012,582525.42,0,78.91,3.452,225.4947868,5.539
9,15-06-2012,564606.1,0,82.21,3.393,225.5070634,5.539
9,22-06-2012,562173.12,0,81.05,3.346,225.5495841,5.539
9,29-06-2012,544770.7,0,87.18,3.286,225.5921049,5.539
9,06-07-2012,578790.36,0,84.15,3.227,225.6346256,5.277
9,13-07-2012,536537.64,0,82.39,3.256,225.6771463,5.277
9,20-07-2012,513991.57,0,83.39,3.311,225.6871121,5.277
9,27-07-2012,495951,0,86.41,3.407,225.6970779,5.277
9,03-08-2012,533887.54,0,90.23,3.417,225.7070437,5.277
9,10-08-2012,538713.47,0,88.66,3.494,225.7170094,5.277
9,17-08-2012,535153.47,0,86.37,3.571,225.7995323,5.277
9,24-08-2012,572887.78,0,77.9,3.62,225.9364729,5.277
9,31-08-2012,576879.15,0,80.71,3.638,226.0734135,5.277
9,07-09-2012,565812.29,1,87.93,3.73,226.2103541,5.277
9,14-09-2012,523427.35,0,73.55,3.717,226.3567545,5.277
9,21-09-2012,533756.88,0,69.92,3.721,226.5599138,5.277
9,28-09-2012,516361.06,0,76.8,3.666,226.7630732,5.277
9,05-10-2012,606755.3,0,66.61,3.617,226.9662325,4.954
9,12-10-2012,558464.8,0,60.09,3.601,227.1693919,4.954
9,19-10-2012,542009.46,0,68.01,3.594,227.214288,4.954
9,26-10-2012,549731.49,0,69.52,3.506,227.2328068,4.954
10,05-02-2010,2193048.75,0,54.34,2.962,126.4420645,9.765
10,12-02-2010,2176028.52,1,49.96,2.828,126.4962581,9.765
10,19-02-2010,2113432.58,0,58.22,2.915,126.5262857,9.765
10,26-02-2010,2006774.96,0,52.77,2.825,126.5522857,9.765
10,05-03-2010,1987090.09,0,55.92,2.877,126.5782857,9.765
10,12-03-2010,1941346.13,0,52.33,3.034,126.6042857,9.765
10,19-03-2010,1946875.06,0,61.46,3.054,126.6066452,9.765
10,26-03-2010,1893532.46,0,60.05,2.98,126.6050645,9.765
10,02-04-2010,2138651.97,0,63.66,3.086,126.6034839,9.524
10,09-04-2010,2041069.37,0,65.29,3.004,126.6019032,9.524
10,16-04-2010,1826241.44,0,69.74,3.109,126.5621,9.524
